folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,subjectid,Public Subject Identifier,,identifier,,,,,TRUE,
Sociodemographics,age,Age at time of study visit,,integer,years,,,,TRUE,
Sociodemographics,gender,Male or Female,,choices,,sex,,,TRUE,
Sociodemographics,race,Race,,choices,,race,,,TRUE,
Administrative/Study Design,group,"Narcolepsy (Clinical), Healthy Subjects (Control), or Other (Other Sleep Disorder)",,choices,,group,,,TRUE,
Medical History/Medications,ssriuse,Was subject on SSRI?,,choices,,ssri,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psgtib,Total In-Bed Period: the interval between lights out/in-bed time and lights off/out-bed time from type I polysomnography,"In-bed period is the interval between lights off/in-bed time and lights on/out-bed time (i.e. time in bed, TIB). ",numeric,minutes (mins),,ttlprdbd_f1t1;tib,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psg_sp,Total sleep period: the time between sleep onset and end of sleep including any wake time from type I polysomnography,,numeric,minutes (mins),,ttlprdsp_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psg_tstmin,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type I polysomnography,"Conventionally, this would be called total sleep time (TST) (i.e. total time spent in stage 1 or greater).",numeric,minutes (mins),,ttldursp_f1t1;tst,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psg_waso,Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from type I polysomnography,Total amount of time spent awake after going to sleep [(time in bed) - (sleep latency) - (Total Sleep Time (TST))],numeric,minutes (mins),,ttldurws_f1t1;waso,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psg_se,Sleep Efficiency: the ratio of sleep duration (i.e. total sleep time) to in-bed period from type I polysomnography,"Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep (i.e. total sleep time, TST), while in-bed period is the interval between lights off/in-bed time and lights on/out-bed time (i.e. time in bed, TIB).",numeric,percent (%),,ttleffbd_f1t1,psg_TSTmin/psg TIB,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psg_sol,Sleep Latency: the interval between lights-out/in-bed time and sleep onset time from type I polysomnography,,numeric,minutes (mins),,ttllatsp_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,psg_remlat,REM Sleep Latency: the interval between the first sleep epoch and REM sleep from type I polysomnography,,numeric,minutes (mins),,ttlprdsp_s1sr_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,nsoremp,REM Sleep Latency < 15 minutes: the interval between the first sleep epoch and REM sleep including wake is under 15 minutes from type I polysomnography,,choices,,rem,ttlprdsp_s1sr_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,n1perc,Percentage of total sleep duration in Stage 1 from type I polysomnography,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type I polysomnography,numeric,percent (%),,pctdursp_s1_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,n2perc,Percentage of total sleep duration in Stage 2 from type I polysomnography,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type I polysomnography,numeric,percent (%),,pctdursp_s2_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,n3perc,Percentage of total sleep duration in Stage 3 and 4 from type I polysomnography,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type I polysomnography,numeric,percent (%),,pctdursp_s3_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,remperc,Percentage of total sleep duration in REM from type I polysomnography,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type I polysomnography,numeric,percent (%),,pctdursp_sr_f1t1,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,rem_duration,Total duration of REM sleep from type I polysomnography,,numeric,minutes (mins),,ttldursp_sr_f1t1,,,
